400010030181|δὲ|400010030031|conj|Cat="conj"|Id="42"|morphId="400010030181"|Unicode="δὲ"|Lemma="δέ"|Lang="G"|StrongNumber="G11610"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="and"
400010030171|Ἑσρὼμ|400010030191|S|Cat="noun"|Id="46"|morphId="400010030171"|Unicode="Ἑσρὼμ"|Lemma="Ἑσρώμ"|Lang="G"|StrongNumber="G20740"|Morph="N,,,,,NMSI"|Case="Nominative"|Gender="Masculine"|Number="Singular"|English="Hezron"
400010030191|ἐγέννησεν|400010030031|CL|Cat="verb"|Id="49"|morphId="400010030191"|Unicode="ἐγέννησεν"|Lemma="γεννάω"|Lang="G"|StrongNumber="G10800"|Morph="V,IAA3,,S,"|Mood="Indicative"|Tense="Aorist"|Voice="Active"|Person="Third"|Number="Singular"|English="father"
400010030201|τὸν|400010030211|det|Cat="det"|Id="52"|morphId="400010030201"|Unicode="τὸν"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,AMS,"|Type="Article"|Case="Accusative"|Gender="Masculine"|Number="Singular"
400010030211|Ἀράμ,|400010030191|O|Cat="noun"|Id="54"|morphId="400010030211"|Unicode="Ἀράμ,"|Lemma="Ἀράμ"|Lang="G"|StrongNumber="G06890"|Morph="N,,,,,AMSI"|Case="Accusative"|Gender="Masculine"|Number="Singular"|English="Ram"
400010040021|δὲ|400010040031|conj|Cat="conj"|Id="3"|morphId="400010040021"|Unicode="δὲ"|Lemma="δέ"|Lang="G"|StrongNumber="G11610"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="and"
400010040011|Ἀρὰμ|400010040031|S|Cat="noun"|Id="7"|morphId="400010040011"|Unicode="Ἀρὰμ"|Lemma="Ἀράμ"|Lang="G"|StrongNumber="G06890"|Morph="N,,,,,NMSI"|Case="Nominative"|Gender="Masculine"|Number="Singular"|English="Ram"
400010040031|ἐγέννησεν|None|CL|Cat="verb"|Id="10"|morphId="400010040031"|Unicode="ἐγέννησεν"|Lemma="γεννάω"|Lang="G"|StrongNumber="G10800"|Morph="V,IAA3,,S,"|Mood="Indicative"|Tense="Aorist"|Voice="Active"|Person="Third"|Number="Singular"|English="father"
400010040041|τὸν|400010040051|det|Cat="det"|Id="13"|morphId="400010040041"|Unicode="τὸν"|Lemma="ὁ"|Lang="G"|StrongNumber="G35880"|Morph="EA,,,,AMS,"|Type="Article"|Case="Accusative"|Gender="Masculine"|Number="Singular"
400010040051|Ἀμιναδάβ,|400010040031|O|Cat="noun"|Id="15"|morphId="400010040051"|Unicode="Ἀμιναδάβ,"|Lemma="Ἀμιναδάβ"|Lang="G"|StrongNumber="G02840"|Morph="N,,,,,AMSI"|Case="Accusative"|Gender="Masculine"|Number="Singular"|English="Amminadab"
400010040071|δὲ|400010040031|conj|Cat="conj"|Id="16"|morphId="400010040071"|Unicode="δὲ"|Lemma="δέ"|Lang="G"|StrongNumber="G11610"|Morph="CC,,,,,,,,"|Type="Coordinating"|English="and"
400010040061|Ἀμιναδὰβ|400010040081|S|Cat="noun"|Id="20"|morphId="400010040061"|Unicode="Ἀμιναδὰβ"|Lemma="Ἀμιναδάβ"|Lang="G"|StrongNumber="G02840"|Morph="N,,,,,NMSI"|Case="Nominative"|Gender="Masculine"|Number="Singular"|English="Amminadab"
