660170130121	660170130101	θηρίῳ	ἐξουσίαν
660170130131	660170130111	διδόασιν	αὐτῶν
660180020271	660180020261	φυλακὴ	μεμισημένου
660180030101	660180030101	πέπωκαν	πέπτωκαν
660220080121	660220080091	ἔβλεψα	ὅτε
660220080131	660220080101	ἔπεσα	ἤκουσα
660220080141	660220080111	προσκυνῆσαι	καὶ
660220080151	660220080121	ἔμπροσθεν	ἔβλεψα
660220080161	660220080131	τῶν	ἔπεσα
660220080171	660220080141	ποδῶν	προσκυνῆσαι
660220210071	660220210071	πάντων	τῶν
